"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"ASR-ENT-Assurance Guarantee HSI","reg","REGIONAL 04",91.47,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg","REGIONAL 05",90.01,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg","REGIONAL 06",91.24,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg","REGIONAL 07",88.27,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","KUDUS",89.90,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","MAGELANG",93.48,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","PEKALONGAN",93.65,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","PURWOKERTO",91.35,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","SEMARANG",90.81,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","SOLO",92.37,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg4","YOGYAKARTA",90.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","DENPASAR",83.60,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","JEMBER",96.97,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","KEDIRI",96.85,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","MADIUN",94.59,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","MADURA",87.06,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","MALANG",96.79,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","NTB",85.56,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","NTT",93.62,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","PASURUAN",100.00,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","SIDOARJO",93.04,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","SINGARAJA",84.16,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","SURABAYA SELATAN",96.28,"2025-09-17",9
"ASR-ENT-Assurance Guarantee HSI","reg5","SURABAYA UTARA",92.23,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 01",78.82,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 02",83.51,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 03",86.57,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 04",88.11,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 05",87.24,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 06",88.93,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg","REGIONAL 07",82.40,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","KUDUS",82.46,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","MAGELANG",84.91,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","PEKALONGAN",85.93,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","PURWOKERTO",83.91,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","SEMARANG",95.36,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","SOLO",90.41,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg4","YOGYAKARTA",92.50,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","DENPASAR",67.21,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","JEMBER",94.65,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","KEDIRI",83.13,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","MADIUN",85.71,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","MADURA",86.17,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","MALANG",90.63,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","NTB",87.45,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","NTT",58.44,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","PASURUAN",99.04,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","SIDOARJO",88.75,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","SINGARAJA",83.33,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","SURABAYA SELATAN",97.75,"2025-09-17",9
"FFM-ENT-TTI Compliance HSI","reg5","SURABAYA UTARA",88.00,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 01",97.62,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 02",97.30,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 03",97.63,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 04",97.34,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 05",97.91,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 06",96.77,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg","REGIONAL 07",95.86,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","KUDUS",98.73,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","MAGELANG",95.14,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","PEKALONGAN",96.89,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","PURWOKERTO",99.32,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","SEMARANG",97.40,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","SOLO",97.49,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg4","YOGYAKARTA",96.61,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","DENPASAR",94.62,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","JEMBER",100.00,"2025-09-17",9
"FFM-ENT-Fulfillment Guarantee HSI","reg5","KEDIRI",99.59,"2025-09-17",9
