kpi,lokasi,area,nilai
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,D_SOLO,tif,50
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,D_SURAMADU,tif,73.68000030517578
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,D_YOGYAKARTA,tif,63.63999938964844
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,TERRITORY 01,tif,56
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,TERRITORY 02,tif,82.61000061035156
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,TERRITORY 03,tif,67.16000366210938
FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI,TERRITORY 04,tif,55.560001373291016
FFM-WHF-TTI Compliance,D_BALI,tif,95.02999877929688
FFM-WHF-TTI Compliance,D_MALANG,tif,97.91000366210938
FFM-WHF-TTI Compliance,D_NUSRA,tif,85.5199966430664
FFM-WHF-TTI Compliance,D_SEMARANG,tif,95.08999633789062
FFM-WHF-TTI Compliance,D_SIDOARJO,tif,98.95999908447266
FFM-WHF-TTI Compliance,D_SOLO,tif,95
FFM-WHF-TTI Compliance,D_SURAMADU,tif,98.37999725341797
FFM-WHF-TTI Compliance,D_YOGYAKARTA,tif,93.94999694824219
FFM-WHF-TTI Compliance,TERRITORY 01,tif,93.0999984741211
FFM-WHF-TTI Compliance,TERRITORY 02,tif,97.7300033569336
FFM-WHF-TTI Compliance,TERRITORY 03,tif,95.58999633789062
FFM-WHF-TTI Compliance,TERRITORY 04,tif,90.68000030517578
FFM-WHF-Fulfillment Guarantee Compliance,D_BALI,tif,98.18000030517578
FFM-WHF-Fulfillment Guarantee Compliance,D_MALANG,tif,99.11000061035156
FFM-WHF-Fulfillment Guarantee Compliance,D_NUSRA,tif,97.20999908447266
FFM-WHF-Fulfillment Guarantee Compliance,D_SEMARANG,tif,99.66000366210938
FFM-WHF-Fulfillment Guarantee Compliance,D_SIDOARJO,tif,99.27999877929688
FFM-WHF-Fulfillment Guarantee Compliance,D_SOLO,tif,99.55999755859375
FFM-WHF-Fulfillment Guarantee Compliance,D_SURAMADU,tif,99.12999725341797
FFM-WHF-Fulfillment Guarantee Compliance,D_YOGYAKARTA,tif,99.05000305175781
FFM-WHF-Fulfillment Guarantee Compliance,TERRITORY 01,tif,98.7300033569336
FFM-WHF-Fulfillment Guarantee Compliance,TERRITORY 02,tif,98.80999755859375
FFM-WHF-Fulfillment Guarantee Compliance,TERRITORY 03,tif,98.97000122070312
FFM-WHF-Fulfillment Guarantee Compliance,TERRITORY 04,tif,98.76000213623047
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_BALI,tif,93.51000213623047
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_MALANG,tif,95
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_NUSRA,tif,89.58000183105469
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_SEMARANG,tif,93.75
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_SIDOARJO,tif,100
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_SOLO,tif,100
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_SURAMADU,tif,98.88999938964844
FFM-WHF-TTR Fulfillment Guarantee Compliance,D_YOGYAKARTA,tif,98.33000183105469
FFM-WHF-TTR Fulfillment Guarantee Compliance,TERRITORY 01,tif,94.51000213623047
FFM-WHF-TTR Fulfillment Guarantee Compliance,TERRITORY 02,tif,98.75
FFM-WHF-TTR Fulfillment Guarantee Compliance,TERRITORY 03,tif,95.38999938964844
FFM-WHF-TTR Fulfillment Guarantee Compliance,TERRITORY 04,tif,87.72000122070312
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_BALI,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_MALANG,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_NUSRA,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_SEMARANG,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_SIDOARJO,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_SOLO,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_SURAMADU,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,D_YOGYAKARTA,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,TERRITORY 01,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,TERRITORY 02,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,TERRITORY 03,tif,nan
ASR-ENT-TTR Compliance K1 DATIN 1.5 Jam,TERRITORY 04,tif,nan
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_BALI,tif,76.19
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_MALANG,tif,84.62
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_NUSRA,tif,83.33
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_SEMARANG,tif,91.30
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_SIDOARJO,tif,89.47
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_SOLO,tif,100.00
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_SURAMADU,tif,83.33
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,D_YOGYAKARTA,tif,83.33
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,TERRITORY 01,tif,80.30
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,TERRITORY 02,tif,81.90
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,TERRITORY 03,tif,86.47
ASR-ENT-TTR Compliance K2 dan K1 Repair DATIN 3.6 Jam,TERRITORY 04,tif,69.59
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_BALI,tif,85.71
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_MALANG,tif,90.91
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_NUSRA,tif,88.89
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_SEMARANG,tif,100.00
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_SIDOARJO,tif,96.77
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_SOLO,tif,100.00
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_SURAMADU,tif,88.46
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,D_YOGYAKARTA,tif,90.48
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,TERRITORY 01,tif,94.12
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,TERRITORY 02,tif,91.16
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,TERRITORY 03,tif,92.39
ASR-ENT-TTR Compliance K3 DATIN 7.2 Jam,TERRITORY 04,tif,71.73
ASR-ENT-TTR Compliance WiFi,D_BALI,tif,86.20999908447266
ASR-ENT-TTR Compliance WiFi,D_MALANG,tif,100
ASR-ENT-TTR Compliance WiFi,D_NUSRA,tif,91.66999816894531
ASR-ENT-TTR Compliance WiFi,D_SEMARANG,tif,97.77999877929688
ASR-ENT-TTR Compliance WiFi,D_SIDOARJO,tif,100
ASR-ENT-TTR Compliance WiFi,D_SOLO,tif,96.36000061035156
ASR-ENT-TTR Compliance WiFi,D_SURAMADU,tif,95.7699966430664
ASR-ENT-TTR Compliance WiFi,D_YOGYAKARTA,tif,97.83000183105469
ASR-ENT-TTR Compliance WiFi,TERRITORY 01,tif,96.30000305175781
ASR-ENT-TTR Compliance WiFi,TERRITORY 02,tif,98.7699966430664
ASR-ENT-TTR Compliance WiFi,TERRITORY 03,tif,95.63999938964844
ASR-ENT-TTR Compliance WiFi,TERRITORY 04,tif,82.16000366210938
ASR-WHF-Assurance Guarantee,D_BALI,tif,92.95999908447266
ASR-WHF-Assurance Guarantee,D_MALANG,tif,94.9000015258789
ASR-WHF-Assurance Guarantee,D_NUSRA,tif,87.4800033569336
ASR-WHF-Assurance Guarantee,D_SEMARANG,tif,93.87999725341797
ASR-WHF-Assurance Guarantee,D_SIDOARJO,tif,94.98999786376953
ASR-WHF-Assurance Guarantee,D_SOLO,tif,94.43000030517578
ASR-WHF-Assurance Guarantee,D_SURAMADU,tif,92.36000061035156
ASR-WHF-Assurance Guarantee,D_YOGYAKARTA,tif,93.83999633789062
ASR-WHF-Assurance Guarantee,TERRITORY 01,tif,91.31999969482422
ASR-WHF-Assurance Guarantee,TERRITORY 02,tif,94.12000274658203
ASR-WHF-Assurance Guarantee,TERRITORY 03,tif,93.01000213623047
ASR-WHF-Assurance Guarantee,TERRITORY 04,tif,92.94000244140625
ASR-WHF-TTR Comply 3H (D,V),D_BALI,tif,100
ASR-WHF-TTR Comply 3H (D,V),D_MALANG,tif,100
ASR-WHF-TTR Comply 3H (D,V),D_NUSRA,tif,100
ASR-WHF-TTR Comply 3H (D,V),D_SEMARANG,tif,100
ASR-WHF-TTR Comply 3H (D,V),D_SIDOARJO,tif,100
ASR-WHF-TTR Comply 3H (D,V),D_SOLO,tif,95
ASR-WHF-TTR Comply 3H (D,V),D_SURAMADU,tif,100
ASR-WHF-TTR Comply 3H (D,V),D_YOGYAKARTA,tif,100
ASR-WHF-TTR Comply 3H (D,V),TERRITORY 01,tif,96.2300033569336
ASR-WHF-TTR Comply 3H (D,V),TERRITORY 02,tif,97.70999908447266
ASR-WHF-TTR Comply 3H (D,V),TERRITORY 03,tif,98.51000213623047
ASR-WHF-TTR Comply 3H (D,V),TERRITORY 04,tif,93.5
ASR-WHF-TTR Comply 6H (P),D_BALI,tif,90.4800033569336
ASR-WHF-TTR Comply 6H (P),D_MALANG,tif,100
ASR-WHF-TTR Comply 6H (P),D_NUSRA,tif,95.13999938964844
ASR-WHF-TTR Comply 6H (P),D_SEMARANG,tif,100
ASR-WHF-TTR Comply 6H (P),D_SIDOARJO,tif,100
ASR-WHF-TTR Comply 6H (P),D_SOLO,tif,100
ASR-WHF-TTR Comply 6H (P),D_SURAMADU,tif,97.44000244140625
ASR-WHF-TTR Comply 6H (P),D_YOGYAKARTA,tif,100
ASR-WHF-TTR Comply 6H (P),TERRITORY 01,tif,97.86000061035156
ASR-WHF-TTR Comply 6H (P),TERRITORY 02,tif,98.75
ASR-WHF-TTR Comply 6H (P),TERRITORY 03,tif,97.19000244140625
ASR-WHF-TTR Comply 6H (P),TERRITORY 04,tif,88.73999786376953
ASR-WHF-TTR Comply 36H (Non HVC),D_BALI,tif,98.62000274658203
ASR-WHF-TTR Comply 36H (Non HVC),D_MALANG,tif,99.87000274658203
ASR-WHF-TTR Comply 36H (Non HVC),D_NUSRA,tif,98.63999938964844
ASR-WHF-TTR Comply 36H (Non HVC),D_SEMARANG,tif,100
ASR-WHF-TTR Comply 36H (Non HVC),D_SIDOARJO,tif,100
ASR-WHF-TTR Comply 36H (Non HVC),D_SOLO,tif,99.80000305175781
ASR-WHF-TTR Comply 36H (Non HVC),D_SURAMADU,tif,99.93000030517578
ASR-WHF-TTR Comply 36H (Non HVC),D_YOGYAKARTA,tif,99.83000183105469
ASR-WHF-TTR Comply 36H (Non HVC),TERRITORY 01,tif,98.72000122070312
ASR-WHF-TTR Comply 36H (Non HVC),TERRITORY 02,tif,99.76000213623047
ASR-WHF-TTR Comply 36H (Non HVC),TERRITORY 03,tif,99.5999984741211
ASR-WHF-TTR Comply 36H (Non HVC),TERRITORY 04,tif,96.94999694824219
ASR-WHF-TTR Comply 3H Manja,D_BALI,tif,97.5199966430664
ASR-WHF-TTR Comply 3H Manja,D_MALANG,tif,97.83999633789062
ASR-WHF-TTR Comply 3H Manja,D_NUSRA,tif,90.12000274658203
ASR-WHF-TTR Comply 3H Manja,D_SEMARANG,tif,99.66000366210938
ASR-WHF-TTR Comply 3H Manja,D_SIDOARJO,tif,100
ASR-WHF-TTR Comply 3H Manja,D_SOLO,tif,97.79000091552734
ASR-WHF-TTR Comply 3H Manja,D_SURAMADU,tif,98.91000366210938
ASR-WHF-TTR Comply 3H Manja,D_YOGYAKARTA,tif,100
ASR-WHF-TTR Comply 3H Manja,TERRITORY 01,tif,98.06999969482422
