LOKASI,MANUAL GAMAS
JML TIKET,MTTR,TIKET COMPLY,% COMPLY
DISTRIBUSI ( TARGET COMPLY  :  4 JAM),18,1.99,18,100.00
KUDUS,3,2.15,3,100.00
MAGELANG,1,3.41,1,100.00
SEMARANG,3,1.07,3,100.00
SOLO,8,0.85,8,100.00
YOGYAKARTA,3,2.49,3,100.00
ODC ( TARGET COMPLY  :  18 JAM),3,10.11,3,100.00
KUDUS,1,2.04,1,100.00
PURWOKERTO,1,11.23,1,100.00
YOGYAKARTA,1,17.05,1,100.00
